"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Location - features/specs/products.feature:72","2411","Ordenação de produtos","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:61","2431","Ordenação de produtos por preço do Maior para o Menor","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:26:15","1744","Preço de Produtos, Examples (#6)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:21:15","1788","Preço de Produtos, Examples (#1)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:25:15","1780","Preço de Produtos, Examples (#5)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:28","2444","Ordenação de produtos por nome do Maior para o Menor","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:39","2430","Ordenação de produtos por nome do Menor para o Maior","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/login.feature:10","1795","Login com sucesso","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de login","login",""
"Location - features/specs/products.feature:5","2634","Contagem de produtos no carrinho","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:50","2434","Ordenação de produtos por preço do Menor para o Maior","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:22:15","1760","Preço de Produtos, Examples (#2)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:24:15","1773","Preço de Produtos, Examples (#4)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:23:15","1795","Preço de Produtos, Examples (#3)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/login.feature:5","2413","Login locked out","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de login","login",""
