"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Location - features/specs/products.feature:26:15","1830","Preço de Produtos, Examples (#6)","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:23:15","1763","Preço de Produtos, Examples (#3)","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/self_healing/login_self_healing.feature:10","1780","Usuário não cadastrado","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de login - Usuário não cadastrado","login_self_healing",""
"Location - features/specs/products.feature:28","2437","Ordenação de produtos por nome do Maior para o Menor","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:5","2684","Contagem de produtos no carrinho","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:24:15","1805","Preço de Produtos, Examples (#4)","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:22:15","1768","Preço de Produtos, Examples (#2)","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:39","2481","Ordenação de produtos por nome do Menor para o Maior","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:72","2435","Ordenação de produtos","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/login.feature:10","1878","Login com sucesso","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de login","login",""
"Location - features/specs/products.feature:25:15","1814","Preço de Produtos, Examples (#5)","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:50","2435","Ordenação de produtos por preço do Menor para o Maior","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:21:15","1815","Preço de Produtos, Examples (#1)","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/login.feature:5","2419","Login locked out","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de login","login",""
"Location - features/specs/products.feature:61","2426","Ordenação de produtos por preço do Maior para o Menor","","2026-08-12","passed","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
