"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Location - features/specs/products.feature:50","2335","Ordenação de produtos por preço do Menor para o Maior","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:23:15","1754","Preço de Produtos, Examples (#3)","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:25:15","1748","Preço de Produtos, Examples (#5)","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:61","2415","Ordenação de produtos por preço do Maior para o Menor","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/login.feature:5","2245","Login locked out","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de login","login",""
"Location - features/specs/login.feature:10","1713","Login com sucesso","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de login","login",""
"Location - features/specs/products.feature:21:15","1682","Preço de Produtos, Examples (#1)","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:22:15","1731","Preço de Produtos, Examples (#2)","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:72","2393","Ordenação de produtos","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:5","2957","Contagem de produtos no carrinho","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:24:15","1677","Preço de Produtos, Examples (#4)","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:28","2391","Ordenação de produtos por nome do Maior para o Menor","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:39","2393","Ordenação de produtos por nome do Menor para o Maior","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:26:15","1771","Preço de Produtos, Examples (#6)","","2026-07-31","passed","2026-07-31","","Exemplo de fluxo de listagem de produtos","products",""
