"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Location - features/specs/products.feature:5","2665","Contagem de produtos no carrinho","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:21:15","1835","Preço de Produtos, Examples (#1)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:26:15","1818","Preço de Produtos, Examples (#6)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:39","2463","Ordenação de produtos por nome do Menor para o Maior","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:72","2454","Ordenação de produtos","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:61","2495","Ordenação de produtos por preço do Maior para o Menor","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:22:15","1820","Preço de Produtos, Examples (#2)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:50","2467","Ordenação de produtos por preço do Menor para o Maior","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/login.feature:5","3590","Login locked out","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de login","login",""
"Location - features/specs/products.feature:28","2476","Ordenação de produtos por nome do Maior para o Menor","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/login.feature:10","1823","Login com sucesso","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de login","login",""
"Location - features/specs/products.feature:24:15","1777","Preço de Produtos, Examples (#4)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:23:15","1814","Preço de Produtos, Examples (#3)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:25:15","1831","Preço de Produtos, Examples (#5)","","2026-07-30","passed","2026-07-30","","Exemplo de fluxo de listagem de produtos","products",""
